,overall_qual,year_built,year_remod/add,mas_vnr_area,neighborhood,total_bsmt_sf,totrms_abvgrd,gr_liv_area,full_bath,garage_area,kitchen_qual,saleprice
31,8,81,60,0.0,3,792.0,7,1517,1,400.0,4,230000
32,8,15,14,0.0,5,1494.0,6,1494,1,481.0,5,270000
33,6,58,58,0.0,3,948.0,5,948,1,410.0,3,125000
34,8,3,2,336.0,3,1705.0,7,1718,2,826.0,4,297000
35,6,52,52,82.0,3,160.0,5,1142,1,384.0,3,113500
36,5,33,33,0.0,1,757.0,6,1475,2,336.0,3,127000
37,6,33,33,480.0,3,1844.0,7,1844,2,546.0,3,190000
38,7,37,37,320.0,3,1242.0,6,1242,1,528.0,3,175500
39,5,16,16,0.0,3,990.0,5,990,1,384.0,3,146000
40,5,45,45,0.0,1,1256.0,6,1256,1,276.0,3,147500
41,10,4,4,0.0,5,2076.0,7,2076,2,850.0,5,465000
42,5,32,32,104.0,3,1097.0,4,1110,1,602.0,4,165500
43,5,56,56,335.0,1,1050.0,7,1795,2,352.0,3,131500
44,5,45,45,0.0,3,1040.0,5,1040,1,384.0,3,129500
45,8,75,60,40.0,3,608.0,9,1873,1,786.0,3,257076
46,5,69,50,0.0,1,984.0,6,1604,2,660.0,3,117000
47,7,79,10,0.0,3,776.0,6,1502,1,270.0,3,149000
48,5,56,56,110.0,3,1056.0,6,1063,1,280.0,3,128000
49,7,7,6,106.0,5,764.0,6,1626,2,474.0,4,155000
50,6,10,10,513.0,5,756.0,4,1524,2,440.0,4,166000
51,4,82,60,0.0,3,1122.0,7,1981,2,576.0,4,135000
52,7,32,32,184.0,3,1392.0,12,2784,3,564.0,4,250000
53,4,40,40,0.0,1,546.0,5,1092,1,0.0,3,76000
54,6,59,59,522.0,3,216.0,5,1575,1,400.0,4,155000
55,6,41,41,143.0,3,663.0,7,1352,1,299.0,3,158000
56,7,6,5,0.0,5,600.0,4,1200,2,480.0,4,149500
57,5,56,35,0.0,3,936.0,5,936,1,240.0,3,121000
58,6,57,57,0.0,3,1040.0,6,1040,1,293.0,3,136000
59,6,14,14,0.0,3,916.0,7,1636,2,386.0,3,173000
60,8,11,3,348.0,5,1152.0,9,2270,2,671.0,4,290000
61,8,3,3,0.0,5,1184.0,11,2610,2,550.0,5,303477
62,7,33,9,0.0,5,1420.0,4,1483,1,690.0,3,270000
63,5,90,60,0.0,1,936.0,6,1740,1,225.0,5,122250
64,5,55,55,0.0,3,1382.0,6,1382,1,350.0,4,153000
65,5,3,3,0.0,3,1120.0,6,1120,1,0.0,3,147000
66,7,80,15,0.0,3,531.0,5,1098,1,216.0,3,148500
67,7,6,6,117.0,1,976.0,7,1708,2,380.0,4,130000
68,9,4,4,510.0,5,1802.0,7,1802,2,843.0,5,372000
69,7,5,5,145.0,3,1362.0,6,1506,2,440.0,4,213490
70,7,1,0,96.0,1,1508.0,5,1508,1,572.0,4,308030
71,7,14,13,668.0,3,1840.0,7,2032,3,786.0,4,300000
72,6,51,51,0.0,3,655.0,6,1194,1,539.0,3,159500
73,7,6,6,50.0,1,970.0,7,1709,2,380.0,4,137500
74,7,5,5,228.0,5,1616.0,7,1616,2,834.0,4,232000
75,6,80,60,0.0,1,768.0,4,768,1,440.0,3,93850
76,5,86,60,65.0,3,872.0,5,872,1,322.0,2,105000
77,4,83,60,0.0,1,520.0,4,520,1,240.0,2,68500
78,5,50,50,361.0,3,1105.0,12,2274,2,480.0,3,154300
79,5,85,7,0.0,1,936.0,6,1601,2,0.0,3,129850
80,5,100,60,0.0,1,616.0,6,1232,1,480.0,3,114000
81,9,2,1,748.0,5,2216.0,9,2234,2,1166.0,5,501837
82,5,95,60,0.0,1,876.0,7,1416,1,720.0,3,153900
83,4,39,4,0.0,3,864.0,5,864,1,576.0,3,130000
84,6,13,13,197.0,3,1189.0,4,1189,2,392.0,3,160500
85,9,4,4,572.0,5,1666.0,6,1666,2,575.0,4,310090
86,7,7,7,0.0,3,1176.0,5,1200,2,555.0,4,184900
87,5,54,10,0.0,3,928.0,4,928,1,252.0,3,132000
88,5,41,41,128.0,3,1288.0,6,1336,2,502.0,3,163000
89,7,6,6,120.0,5,600.0,4,1200,2,480.0,4,155000
90,6,41,41,0.0,3,1427.0,7,1427,2,516.0,3,183000
91,7,14,8,254.0,3,860.0,7,1992,2,608.0,4,211000
92,7,16,16,0.0,3,754.0,6,1540,2,495.0,4,184000
93,5,31,31,0.0,3,0.0,8,1535,2,400.0,3,118858
94,5,46,46,86.0,3,1152.0,6,1152,1,484.0,3,180500
95,8,4,3,30.0,5,1141.0,5,1151,2,484.0,4,166000
96,6,50,50,54.0,3,1138.0,6,1138,1,480.0,3,148000
97,5,54,54,0.0,3,894.0,6,1074,1,396.0,4,124000
98,9,5,5,246.0,5,1561.0,6,1561,2,556.0,5,277500
99,8,15,15,397.0,5,1342.0,9,2726,2,725.0,4,350000
100,9,6,6,296.0,5,1884.0,7,1884,2,670.0,5,387000
101,4,90,8,0.0,1,528.0,5,605,1,0.0,3,86000
102,8,34,3,0.0,5,1426.0,6,1671,3,550.0,5,290000
103,3,110,60,0.0,1,245.0,5,797,1,0.0,3,44000
104,6,9,8,0.0,3,804.0,7,1961,2,560.0,4,215000
105,5,38,38,144.0,3,1153.0,6,1193,2,501.0,3,146500
106,7,10,10,0.0,5,673.0,6,1382,2,490.0,4,165000
107,6,94,60,0.0,1,714.0,10,2526,2,216.0,4,136000
108,6,53,53,902.0,3,1705.0,4,1390,1,550.0,5,252000
109,7,7,7,106.0,5,764.0,6,1626,2,474.0,4,175500
110,5,71,60,0.0,1,690.0,7,1558,1,400.0,3,150000
111,5,50,32,0.0,3,978.0,6,1422,1,286.0,3,139900
112,5,80,18,0.0,1,1078.0,8,1573,2,360.0,3,162900
113,6,48,48,261.0,3,1116.0,5,1116,1,440.0,3,160000
114,2,63,60,0.0,3,0.0,5,660,1,0.0,2,63900
115,6,32,12,144.0,3,1140.0,7,1707,2,479.0,3,184000
116,5,51,51,132.0,1,1466.0,6,1466,1,528.0,2,149900
117,9,10,10,260.0,5,1614.0,5,1638,2,495.0,5,300000
118,5,50,50,275.0,5,988.0,7,1721,2,626.0,3,145000
119,6,13,13,0.0,3,928.0,7,1764,2,470.0,4,231500
120,5,70,41,0.0,1,996.0,6,996,1,0.0,3,108000
121,5,54,54,0.0,3,1202.0,6,1202,1,304.0,3,120000
122,5,49,49,57.0,3,988.0,5,988,1,572.0,3,128500
123,5,83,60,0.0,1,1008.0,5,1028,1,360.0,3,115000
124,5,63,60,0.0,1,720.0,5,1284,1,240.0,3,110000
125,9,33,33,1050.0,5,994.0,9,2944,2,864.0,4,150000
126,8,6,6,0.0,3,707.0,6,1414,2,403.0,4,178000
127,7,78,20,0.0,3,637.0,8,1609,1,579.0,4,199500
128,6,13,12,0.0,3,813.0,6,1525,2,400.0,3,183500
129,5,43,43,0.0,1,624.0,7,1656,1,288.0,3,126000
130,7,33,33,0.0,3,1055.0,4,1055,2,440.0,3,148500
131,5,71,4,0.0,1,676.0,7,1352,2,720.0,4,149000
132,6,33,33,0.0,3,855.0,6,1456,2,440.0,3,137900
133,8,17,17,0.0,5,1719.0,6,1719,1,473.0,4,324000
134,5,85,60,0.0,1,864.0,5,864,1,0.0,3,98000
135,6,37,37,359.0,1,483.0,5,987,1,264.0,3,103400
136,5,135,14,0.0,3,780.0,6,1020,1,0.0,3,94000
137,8,4,4,108.0,5,1554.0,6,1554,2,627.0,4,209500
138,10,4,4,662.0,5,1528.0,10,3390,3,758.0,5,545224
139,6,98,1,0.0,1,780.0,7,1560,1,0.0,4,159900
140,4,59,59,0.0,3,864.0,4,864,1,400.0,3,141000
141,6,10,10,0.0,3,982.0,9,1889,2,431.0,3,215000
142,5,48,0,0.0,3,1040.0,6,1040,1,260.0,3,127000
143,5,56,12,0.0,1,1172.0,5,1172,1,366.0,3,128000
144,8,0,0,0.0,5,1642.0,6,1418,1,852.0,4,267916
145,6,79,60,0.0,1,884.0,6,1367,1,560.0,3,127500
146,7,7,7,500.0,1,0.0,7,1922,3,672.0,4,198500
147,6,29,29,210.0,3,1422.0,7,1422,2,576.0,4,175500
148,7,10,10,144.0,3,985.0,7,1842,2,486.0,4,217500
149,4,95,60,0.0,1,888.0,9,1962,1,572.0,3,149500
150,5,44,6,165.0,3,864.0,5,1120,1,656.0,3,148800
151,9,5,4,208.0,5,1992.0,11,2868,3,716.0,5,556581
152,6,53,53,0.0,3,1478.0,6,1478,1,442.0,3,156500
153,7,15,14,0.0,3,930.0,8,1995,2,610.0,4,237000
154,5,52,25,0.0,3,912.0,5,912,1,297.0,3,120000
155,6,5,5,0.0,3,1326.0,6,1326,2,388.0,4,203000
156,8,23,23,0.0,5,1191.0,5,1204,2,461.0,3,130000
157,6,46,46,360.0,3,780.0,7,1611,1,442.0,3,167900
158,4,40,40,160.0,1,960.0,6,960,1,576.0,3,129000
159,5,53,14,64.0,3,1070.0,6,1236,1,447.0,4,134450
160,5,92,3,0.0,3,816.0,7,1416,2,576.0,4,112000
161,7,22,22,360.0,3,929.0,7,1873,2,619.0,4,207000
162,5,88,60,0.0,1,1040.0,11,2128,2,0.0,3,62500
163,7,7,6,106.0,5,764.0,6,1626,2,474.0,4,154000
164,5,53,53,0.0,3,816.0,5,816,1,308.0,3,129900
165,5,34,34,0.0,1,536.0,4,1112,1,336.0,3,85000
166,7,84,60,0.0,1,572.0,5,1111,1,288.0,3,116900
167,6,32,32,0.0,3,855.0,7,1441,2,440.0,3,148500
168,4,69,60,0.0,1,672.0,5,924,1,280.0,2,80000
169,5,26,26,0.0,3,1060.0,5,1126,1,506.0,3,152000
170,5,56,56,0.0,1,381.0,6,992,1,319.0,3,155891
171,6,90,60,0.0,1,768.0,7,1376,1,576.0,4,165000
172,7,1,0,0.0,5,1218.0,4,1218,2,676.0,4,204500
173,5,68,15,224.0,3,728.0,7,1644,1,312.0,4,146500
174,7,32,32,206.0,3,1271.0,7,1601,2,478.0,3,157000
175,7,120,11,0.0,1,1313.0,10,2495,2,342.0,3,184000
176,6,8,7,0.0,3,783.0,7,1509,2,393.0,4,183200
177,5,48,48,116.0,3,1092.0,6,1092,1,288.0,3,139000
178,7,17,16,651.0,5,1311.0,9,2418,2,983.0,4,341000
179,6,39,39,504.0,1,483.0,5,987,1,264.0,3,96000
180,4,7,6,0.0,1,1121.0,5,1121,2,440.0,3,140000
181,6,53,14,0.0,1,912.0,6,1236,1,923.0,3,149700
182,5,35,35,0.0,3,1056.0,6,1074,1,495.0,3,153500
183,1,58,58,0.0,1,0.0,4,733,1,487.0,2,13100
184,7,7,7,252.0,3,884.0,8,1768,2,543.0,4,224900
185,7,5,5,0.0,5,1257.0,6,1266,2,453.0,4,176000
186,8,18,10,337.0,5,1683.0,9,2872,2,541.0,4,285000
187,8,3,3,84.0,5,1485.0,6,1464,2,754.0,4,282922
188,7,44,44,309.0,3,924.0,8,2157,2,487.0,4,226000
189,8,4,4,466.0,5,1234.0,10,2576,2,666.0,5,361919
190,9,5,4,600.0,5,1398.0,11,2798,3,670.0,5,457347
191,8,34,34,0.0,5,966.0,5,1743,0,529.0,4,279000
192,6,33,33,0.0,3,1567.0,5,1567,2,714.0,4,196000
193,7,34,34,189.0,3,1090.0,6,1370,2,479.0,3,152000
194,5,41,41,368.0,3,1248.0,12,2634,2,968.0,3,200000
195,8,5,4,198.0,3,1570.0,6,1590,2,754.0,5,294900
196,7,2,1,140.0,3,1450.0,6,1450,2,788.0,4,224243
197,6,95,60,0.0,1,832.0,7,1338,2,528.0,3,92000
198,7,3,3,0.0,3,728.0,8,1456,2,400.0,4,179540
199,10,7,7,922.0,5,2392.0,8,2392,2,968.0,5,386250
200,4,40,40,0.0,1,530.0,4,992,1,297.0,3,106500
201,10,2,2,160.0,5,1017.0,10,2007,2,812.0,5,310000
202,7,12,12,275.0,5,1066.0,8,2385,2,600.0,4,252000
203,7,69,60,0.0,3,918.0,7,1646,2,240.0,3,164000
204,7,3,3,16.0,3,728.0,7,1456,2,400.0,4,177594
205,5,74,30,0.0,1,528.0,5,1040,1,624.0,3,123900
206,6,92,60,0.0,3,1370.0,10,2624,2,864.0,3,239000
207,5,45,33,0.0,3,1068.0,7,1264,1,528.0,3,169000
208,7,7,6,18.0,3,1374.0,7,1557,2,420.0,4,234000
209,6,33,33,0.0,3,957.0,5,1287,1,541.0,3,173000
210,6,40,40,180.0,3,1004.0,5,1004,1,480.0,3,149000
211,7,3,3,0.0,3,1162.0,6,1162,2,483.0,4,170000
212,7,2,1,0.0,5,1436.0,6,1436,2,529.0,4,225000
213,5,47,7,0.0,3,960.0,6,960,1,300.0,4,144900
214,5,42,42,0.0,1,1196.0,6,1196,1,336.0,3,144000
215,8,6,5,16.0,3,1256.0,6,1269,2,430.0,4,192000
216,5,58,5,0.0,3,1031.0,5,1031,1,230.0,4,145500
217,4,110,12,0.0,1,448.0,5,720,1,280.0,2,86900
218,6,57,57,90.0,3,1505.0,6,1505,1,505.0,3,149500
219,5,72,60,0.0,3,920.0,5,954,1,240.0,2,119750
220,6,5,4,0.0,3,750.0,6,1500,2,564.0,4,173900
221,5,49,49,0.0,3,1050.0,6,1050,1,368.0,3,136500
222,8,16,16,0.0,5,2062.0,9,2687,2,618.0,4,270000
223,6,50,35,0.0,5,1602.0,4,1252,1,564.0,3,235000
224,7,11,10,0.0,3,384.0,7,1430,2,400.0,3,156000
225,5,7,6,0.0,3,1114.0,6,1114,2,576.0,4,153000
226,6,11,11,425.0,3,1224.0,5,1224,2,402.0,3,165000
227,9,5,3,245.0,5,1122.0,11,2504,2,656.0,5,325000
228,5,69,60,0.0,3,728.0,5,1355,2,528.0,3,140000
229,6,47,47,234.0,1,741.0,9,2294,3,658.0,3,202500
230,9,2,2,766.0,5,1702.0,7,1702,1,1052.0,5,367294
231,6,22,21,219.0,5,1461.0,5,1509,2,600.0,4,175000
232,7,95,40,0.0,3,756.0,7,1717,1,642.0,4,140000
233,7,25,25,0.0,5,1265.0,6,1240,2,528.0,4,174000
234,7,5,5,182.0,3,856.0,5,1166,2,400.0,4,190000
235,5,100,8,0.0,1,504.0,7,1464,2,0.0,3,129000
236,6,51,19,136.0,3,1592.0,6,1652,1,510.0,4,200000
237,6,42,42,576.0,3,896.0,8,2142,2,509.0,4,193500
238,6,46,46,260.0,3,1092.0,6,1092,1,504.0,3,145000
239,7,81,60,270.0,3,1022.0,7,1671,2,451.0,3,218000
240,5,58,8,232.0,1,0.0,7,1488,1,569.0,3,135000
241,5,58,58,150.0,3,1444.0,6,1624,1,240.0,3,146500
242,6,5,4,256.0,5,1362.0,6,1362,2,460.0,4,194700
243,7,3,2,210.0,5,1218.0,6,1218,2,462.0,4,230348
244,6,87,60,0.0,1,1124.0,5,1068,1,288.0,3,109500
245,6,31,31,0.0,3,1625.0,6,1625,2,576.0,2,242500
246,7,23,23,0.0,5,1064.0,5,1767,2,504.0,4,239000
247,6,56,10,176.0,3,1050.0,6,1050,1,286.0,4,156000
248,4,53,53,0.0,3,907.0,5,907,1,352.0,3,109008
249,2,71,60,0.0,1,0.0,4,845,1,256.0,3,68104
250,8,15,15,466.0,5,1242.0,9,2501,2,751.0,4,290000
251,5,44,44,0.0,3,1209.0,6,1209,1,504.0,3,159000
252,4,73,60,0.0,1,348.0,5,906,1,231.0,3,87000
253,8,9,8,479.0,3,1581.0,6,1601,2,670.0,4,272000
254,7,5,4,0.0,3,1336.0,6,1336,2,502.0,4,198000
255,4,70,25,0.0,1,801.0,8,1656,2,440.0,3,119164
256,5,56,56,0.0,1,0.0,5,1124,1,0.0,3,93000
257,7,10,9,647.0,3,982.0,8,1892,2,431.0,3,226750
258,3,110,40,0.0,1,978.0,7,1699,2,420.0,3,95000
259,6,62,60,0.0,1,780.0,6,1416,1,312.0,3,139900
260,3,70,44,0.0,1,728.0,6,1306,1,0.0,2,76500
261,4,70,5,0.0,1,672.0,4,672,1,308.0,3,86900
262,5,42,42,0.0,3,1113.0,6,1160,1,257.0,4,152500
263,4,57,57,115.0,1,911.0,5,930,1,286.0,3,99000
264,4,70,60,0.0,1,420.0,5,708,1,0.0,2,82500
265,6,18,18,0.0,3,1575.0,5,1575,2,529.0,4,179200
266,5,44,44,0.0,3,1059.0,6,1059,1,286.0,3,142500
267,4,46,46,0.0,3,1005.0,5,1005,1,440.0,3,115400
268,7,9,9,0.0,5,1057.0,7,1929,2,650.0,4,226000
269,7,5,5,0.0,5,600.0,4,1200,2,480.0,4,144152
270,8,7,7,221.0,5,1765.0,9,2690,2,795.0,4,370000
271,5,26,26,0.0,3,833.0,5,833,1,495.0,4,149900
272,6,4,4,0.0,3,728.0,8,1456,2,429.0,3,172785
273,5,60,8,0.0,3,864.0,5,864,1,720.0,4,129000
274,6,31,12,0.0,3,1362.0,7,1586,2,435.0,3,181000
275,5,54,54,272.0,3,1058.0,6,1370,1,300.0,3,148000
276,6,8,8,0.0,1,914.0,4,914,1,0.0,4,117250
277,7,5,4,16.0,3,1373.0,7,1555,2,430.0,4,192500
278,6,30,30,0.0,3,716.0,6,1556,2,452.0,3,151000
279,5,38,38,0.0,3,882.0,5,882,1,461.0,3,112500
280,5,90,60,0.0,1,915.0,6,1167,1,495.0,3,144000
281,9,3,2,714.0,5,1800.0,6,1800,2,944.0,5,370967
282,6,35,35,0.0,3,855.0,6,1456,2,440.0,4,149900
283,7,8,8,95.0,3,831.0,7,1660,2,493.0,4,195000
284,7,18,18,170.0,3,384.0,7,1482,2,392.0,4,163900
285,6,26,26,136.0,5,1190.0,7,1522,2,552.0,3,182000
286,9,2,2,246.0,5,2190.0,9,2036,2,780.0,5,410000
287,5,19,19,0.0,3,1582.0,5,1595,2,672.0,3,152000
288,7,5,5,172.0,3,891.0,8,1686,2,462.0,4,184000
289,7,13,12,200.0,3,1344.0,8,1344,2,784.0,3,206300
290,5,40,40,0.0,3,1652.0,8,1652,2,928.0,3,146500
291,4,54,54,0.0,3,832.0,5,1337,1,263.0,3,108000
292,7,42,18,143.0,3,570.0,8,1920,3,487.0,4,170000
293,6,6,6,205.0,3,848.0,3,848,1,420.0,4,145000
294,7,35,35,0.0,3,1057.0,4,1055,2,440.0,3,123000
295,6,14,13,0.0,5,1291.0,6,1291,1,431.0,4,173000
296,6,82,7,0.0,1,624.0,5,720,1,484.0,3,105900
297,4,37,37,0.0,1,462.0,5,988,1,297.0,3,91000
298,5,61,5,0.0,3,1067.0,7,1523,2,295.0,2,158000
299,7,6,6,0.0,3,864.0,7,1728,2,572.0,4,190000
300,8,15,15,0.0,5,1230.0,4,1239,1,477.0,4,217500
301,5,52,52,162.0,1,1151.0,7,1955,2,356.0,3,165500
302,7,69,60,0.0,3,704.0,7,1564,1,234.0,2,174500
303,4,56,56,0.0,1,416.0,6,1204,1,312.0,3,100000
304,6,52,52,108.0,3,1329.0,6,1329,1,312.0,4,172000
305,5,35,35,0.0,3,864.0,5,879,1,440.0,3,120000
306,4,60,60,0.0,3,721.0,4,841,1,294.0,3,82000
307,6,63,60,0.0,3,784.0,6,1312,1,649.0,3,127000
308,6,93,60,0.0,1,735.0,8,2058,1,396.0,3,129500
309,8,26,26,0.0,5,1220.0,4,1360,1,565.0,4,187500
310,8,8,7,240.0,3,1778.0,6,1786,2,715.0,4,300000
311,6,39,39,252.0,3,825.0,8,1993,2,495.0,3,190000
312,4,90,60,0.0,1,951.0,7,1362,2,280.0,3,96000
313,7,4,3,100.0,5,1092.0,7,1550,2,438.0,4,241000
314,5,48,48,0.0,3,1140.0,8,1696,1,349.0,3,143900
315,4,40,40,0.0,1,546.0,5,1092,1,286.0,3,87550
316,9,5,5,412.0,5,1752.0,6,1752,2,576.0,5,319900
317,9,4,4,184.0,5,1094.0,11,2473,2,675.0,4,356383
318,9,3,3,0.0,3,1800.0,7,1800,2,702.0,5,239000
319,7,17,16,320.0,5,1080.0,9,2197,2,783.0,4,287500
320,5,69,60,0.0,1,720.0,7,1382,1,660.0,3,128500
321,7,6,6,0.0,3,847.0,7,1733,2,433.0,4,185088
322,7,2,2,0.0,5,1402.0,7,1402,2,625.0,4,229800
323,5,26,26,0.0,3,864.0,5,887,1,288.0,3,124500
324,5,42,42,0.0,3,1051.0,6,1051,1,504.0,3,142000
325,6,90,60,0.0,3,755.0,6,1510,1,216.0,3,149000
326,5,37,37,564.0,3,1656.0,8,1656,2,506.0,3,135000
327,6,34,34,0.0,3,1078.0,5,958,2,440.0,3,128000
328,8,18,17,0.0,5,3200.0,10,3228,3,546.0,4,430000
329,5,42,42,0.0,3,1040.0,5,1040,1,686.0,3,145000
330,5,100,7,0.0,3,661.0,8,1250,2,552.0,3,139000
331,6,26,7,74.0,3,585.0,7,1868,3,477.0,3,178000
332,10,5,4,468.0,5,1620.0,10,2790,2,1150.0,5,460000
333,6,94,16,0.0,1,844.0,10,2134,2,441.0,4,214500
334,5,94,15,0.0,3,686.0,10,1928,2,0.0,3,160000
335,7,11,11,298.0,3,992.0,8,2060,2,390.0,4,214000
336,6,75,12,0.0,1,901.0,6,1378,1,162.0,4,128900
337,4,49,35,149.0,3,1249.0,7,1622,1,1356.0,3,168000
338,8,3,3,0.0,5,955.0,8,1880,2,880.0,5,310013
339,8,24,24,0.0,5,1074.0,5,1088,1,461.0,4,170000
340,5,51,51,0.0,3,1040.0,6,1040,1,286.0,3,133700
341,6,87,14,0.0,3,602.0,7,1502,1,180.0,4,165000
342,6,39,39,604.0,1,483.0,5,987,1,264.0,3,89500
343,6,52,52,105.0,3,588.0,6,1095,1,264.0,3,140000
344,7,6,6,50.0,1,970.0,7,1709,2,380.0,4,134000
345,6,18,17,0.0,3,836.0,7,1731,2,462.0,4,248500
346,4,45,9,0.0,3,648.0,3,960,0,364.0,3,145000
347,6,35,35,0.0,3,713.0,6,1552,2,434.0,3,179900
348,8,4,3,428.0,5,1795.0,7,1795,2,895.0,4,147000
349,5,19,19,0.0,3,624.0,6,1274,1,576.0,3,136000
350,6,70,60,0.0,1,572.0,6,1196,1,576.0,3,128000
351,4,64,9,0.0,3,560.0,4,704,1,220.0,2,88750
352,5,55,55,0.0,3,972.0,5,972,1,305.0,3,122500
353,6,62,60,0.0,3,912.0,6,1458,1,330.0,3,97500
354,6,47,47,332.0,3,1008.0,5,1008,1,430.0,3,135000
355,9,3,3,452.0,5,1822.0,9,1828,2,774.0,4,314813
356,3,95,28,0.0,1,1013.0,6,1526,1,0.0,2,85000
357,6,73,10,0.0,1,698.0,4,1176,1,624.0,3,134900
358,5,55,11,164.0,1,1057.0,6,1057,1,288.0,4,137000
359,8,15,15,660.0,5,2109.0,7,2113,2,839.0,4,350000
360,5,43,35,0.0,3,943.0,6,1387,1,300.0,3,145000
361,9,5,4,365.0,5,1704.0,9,2758,2,814.0,5,418000
362,3,90,60,0.0,1,798.0,5,840,1,250.0,2,64000
363,5,78,10,0.0,3,793.0,6,1520,1,281.0,3,159434
364,8,3,3,164.0,5,1542.0,6,1542,2,852.0,4,260261
365,5,58,58,0.0,3,910.0,6,1385,2,720.0,3,166000
366,5,48,48,0.0,3,896.0,6,936,1,288.0,3,130000
367,5,69,60,0.0,3,824.0,6,1288,1,240.0,3,112000
368,5,47,47,148.0,3,1120.0,6,1128,2,525.0,3,155000
369,8,1,0,84.0,5,774.0,8,1968,2,680.0,5,269500
370,6,46,46,0.0,3,1246.0,6,1246,1,441.0,3,172000
371,7,70,26,0.0,3,800.0,6,1740,1,240.0,3,219500
372,5,47,47,0.0,3,925.0,5,925,1,484.0,3,133500
373,7,10,10,0.0,3,384.0,8,1430,2,400.0,3,170000
374,8,110,7,0.0,1,930.0,7,1566,2,288.0,4,150000
375,5,57,57,0.0,3,984.0,5,950,1,400.0,3,130000
376,5,51,51,128.0,3,1144.0,6,1144,1,796.0,3,143000
377,5,49,49,0.0,3,1114.0,5,1114,1,451.0,3,140000
378,7,37,37,1115.0,3,2223.0,8,2223,2,516.0,3,244000
379,5,90,14,0.0,1,530.0,6,1111,1,288.0,2,101000
380,5,52,52,0.0,1,960.0,5,960,1,624.0,3,125000
381,6,12,12,0.0,3,932.0,7,1633,2,460.0,3,183000
382,6,98,60,0.0,1,755.0,8,2229,1,0.0,3,104000
383,6,56,56,0.0,3,936.0,4,984,1,280.0,3,112500
384,6,30,30,157.0,3,1686.0,7,1686,2,612.0,3,207500
385,7,5,5,140.0,3,1614.0,7,1614,2,576.0,4,225000
386,5,38,38,0.0,3,864.0,5,864,1,297.0,3,119900
387,7,4,4,206.0,5,1721.0,8,1740,2,874.0,4,293000
388,5,42,17,0.0,3,1461.0,7,1721,2,440.0,3,180000
389,6,34,34,335.0,3,1012.0,6,1034,1,888.0,3,169900
390,6,32,32,0.0,3,0.0,8,1902,2,539.0,3,112000
391,6,26,25,0.0,3,1040.0,6,1097,2,480.0,3,152000
392,9,5,4,525.0,5,1090.0,10,2206,2,670.0,5,300000
393,6,34,34,0.0,1,1029.0,6,1117,1,672.0,3,107000
394,4,125,60,0.0,1,777.0,11,2290,2,560.0,3,122500
395,6,38,38,504.0,1,483.0,5,948,1,264.0,3,89000
396,6,70,60,0.0,3,600.0,5,919,1,231.0,3,95000
397,6,42,42,41.0,3,912.0,7,1152,1,412.0,3,143450
398,9,1,0,162.0,5,1590.0,10,2334,2,751.0,5,376162
399,5,50,50,324.0,3,1268.0,6,1264,1,461.0,3,167500
400,5,31,31,275.0,3,1086.0,6,1224,0,528.0,3,153337
401,6,85,60,0.0,1,672.0,6,1369,2,300.0,3,103600
